,finess,type
1115,040000275,Privé
1116,040000283,Privé
1117,040000291,Privé
1118,040000309,Privé
1119,040000333,Public
1120,040000358,Privé
1121,040000374,Privé
1122,040000382,Privé
1123,040000390,Privé
1124,040000424,Privé
1125,040000440,Privé
1126,040000515,Privé
1127,040000531,Public
1128,040000564,Privé
1129,040000614,Privé
1130,040000630,Privé
1131,040000705,Public
1132,040000739,Privé
1133,040000846,Privé
1134,040000929,Privé
1135,040000994,Privé
1136,040001026,Privé
1137,040001034,Privé
1138,040001117,Privé
1139,040001158,Privé
1140,040001216,Privé
1141,040001299,Privé
1142,040001398,Privé
1143,040001604,Privé
1144,040001620,Privé
1145,040001646,Privé
1146,040001653,Privé
1147,040001695,Privé
1148,040001703,Privé
1149,040001711,Privé
1150,040001729,Privé
1151,040001737,Privé
1152,040001745,Privé
1153,040001752,Privé
1154,040001760,Privé
1155,040001786,Privé
1156,040001794,Privé
1157,040001810,Privé
1158,040001828,Privé
1159,040001836,Privé
1160,040001844,Privé
1161,040001851,Privé
1162,040001877,Privé
1163,040001885,Privé
1164,040001893,Privé
1165,040001919,Privé
1166,040001927,Privé
1167,040001935,Privé
1168,040001943,Privé
1169,040001950,Privé
1170,040001976,Privé
1171,040001984,Privé
1172,040002032,Privé
1173,040002040,Privé
1174,040002057,Privé
1175,040002065,Privé
1176,040002073,Privé
1177,040002081,Privé
1178,040002107,Privé
1179,040002123,Privé
1180,040002131,Privé
1181,040002156,Privé
1182,040002164,Privé
1183,040002180,Privé
1184,040002206,Privé
1185,040002214,Privé
1186,040002222,Privé
1187,040002339,Privé
1188,040002388,Privé
1189,040002578,Privé
1190,040002859,Privé
1191,040002941,Privé
1192,040002958,Privé
1193,040002966,Privé
1194,040002974,Privé
1195,040002990,Privé
1196,040003170,Privé
1197,040003279,Privé
1198,040003295,Privé
1199,040003311,Privé
1200,040003337,Privé
1201,040003386,Public
1202,040003394,Public
1203,040003402,Public
1204,040003410,Public
1205,040003469,Privé
1206,040003535,Privé
1207,040003543,Privé
1208,040003568,Privé
1209,040003766,Public
1210,040003790,Privé
1211,040003824,Privé
1212,040003832,Privé
1213,040003840,Privé
1214,040003881,Public
1215,040004004,Privé
1216,040004046,Privé
1217,040004111,Privé
1218,040004137,Privé
1219,040004251,Privé
1220,040004319,Privé
1221,040004376,Privé
1222,040004426,Privé
1223,040004442,Privé
1224,040004483,Privé
1225,040004608,Privé
1226,040004632,Privé
1227,040004665,Privé
1228,040004731,Privé
1229,040004756,Privé
1230,040004798,Privé
1231,040004848,Privé
1232,040004863,Privé
1233,040004897,Privé
1234,040004913,Public
1235,040004921,Privé
1236,040004939,Privé
1237,040004970,Public
1238,040004988,Privé
1239,040005001,Privé
1240,040005019,Privé
1241,040005068,Privé
1242,040005092,Privé
1243,040005118,Privé
1244,040005134,Privé
1245,040005175,Privé
1246,040005191,Privé
1247,040005225,Public
1248,040005282,Privé
1249,040005308,Privé
1250,040005324,Privé
1251,040005340,Privé
1252,040005365,Privé
1253,040005381,Privé
1254,040005407,Privé
1255,040005423,Privé
1256,040005449,Privé
1257,040005464,Privé
1258,040005480,Privé
1259,040005506,Privé
1260,040005522,Privé
1261,040005548,Privé
1262,040005563,Privé
1263,040005589,Privé
1264,040005605,Privé
1265,040005621,Privé
1266,040005647,Privé
1267,040005662,Privé
1268,040005688,Privé
1269,040005704,Privé
1270,040005720,Privé
1271,040005746,Privé
1272,040005761,Privé
1273,040005787,Privé
1274,040005803,Privé
1275,040005829,Privé
1276,040005845,Privé
1277,040005860,Privé
1278,040005886,Privé
1279,040005902,Privé
1280,040005928,Privé
1281,040005944,Public
1282,040005969,Public
1283,040005985,Public
1284,040006009,Public
1285,040006025,Public
1286,040006041,Public
1287,040006066,Privé
1288,040006082,Privé
1289,040006108,Privé
1290,040006132,Privé
1291,040006157,Privé
1292,040006181,Privé
1293,040006215,Privé
1294,040006249,Privé
1295,040006272,Privé
1296,040780132,Public
1297,040780140,Public
1298,040780173,Public
1299,040780181,Public
1300,040780207,Public
1301,040780215,Public
1302,040780223,Public
1303,040780231,Public
1304,040780249,Public
1305,040780264,Public
1306,040784555,Privé
1307,040786279,Privé
1308,040786360,Privé
1309,040786469,Privé
1310,040786568,Privé
1311,040787582,Public
1312,040787673,Public
1313,040787863,Public
1314,040787889,Public
1315,040787897,Public
1316,040787913,Public
1317,040787921,Public
1318,040787939,Public
1319,040787954,Public
1320,040788622,Public
1321,040788879,Public
1322,040789331,Public
1323,050000033,Privé
1324,050000082,Privé
1325,050000108,Public
1326,050000116,Public
1327,050000124,Public
1328,050000496,Privé
1329,050000546,Privé
1330,050000553,Privé
1331,050000561,Privé
1332,050000645,Privé
1333,050000678,Privé
1334,050000686,Privé
1335,050000975,Privé
1336,050001163,Privé
1337,050001254,Public
1338,050001262,Public
1339,050001270,Public
1340,050001346,Privé
1341,050001478,Public
1342,050001544,Privé
1343,050001551,Privé
1344,050001569,Public
1345,050001577,Public
1346,050001593,Privé
1347,050001668,Privé
1348,050001676,Privé
1349,050001684,Privé
1350,050001700,Privé
1351,050001759,Privé
1352,050001767,Privé
1353,050001973,Public
1354,050002005,Public
1355,050002039,Public
1356,050002088,Privé
1357,050002211,Public
1358,050002732,Privé
1359,050002757,Privé
1360,050002773,Privé
1361,050002807,Privé
1362,050002823,Privé
1363,050002856,Privé
1364,050002906,Privé
1365,050002922,Privé
1366,050002948,Public
1367,050002955,Privé
1368,050002971,Privé
1369,050002989,Privé
1370,050003003,Privé
1371,050003052,Privé
1372,050003086,Privé
1373,050003102,Privé
1374,050003128,Privé
1375,050003136,Privé
1376,050003151,Privé
1377,050003185,Privé
1378,050003201,Privé
1379,050003219,Privé
1380,050003235,Privé
1381,050003250,Privé
1382,050003284,Privé
